# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    17.573876900   17.573877490   17.573884180
   23.026052104    0.367068450    0.367067944    0.367074143
   23.086172345    0.370142745    0.370142598    0.370149037
   23.146292585    0.371410126    0.371409946    0.371416719
   23.206412826    0.377177192    0.377176872    0.377184094
   23.266533066    0.384576417    0.384575730    0.384582849
   23.326653307    0.385147006    0.385145619    0.385151061
   23.386773547    0.384370109    0.384368802    0.384373346
   23.446893788    0.391159748    0.391158715    0.391163926
   23.507014028    0.400503461    0.400502471    0.400507899
   23.567134269    0.405251340    0.405250783    0.405252675
   23.627254509    0.405414156    0.405414884    0.405411007
   23.687374749    0.405135628    0.405136960    0.405131723
   23.747494990    0.402747012    0.402748324    0.402744693
   23.807615230    0.401409560    0.401410061    0.401410236
   23.867735471    0.402565121    0.402565959    0.402569569
   23.927855711    0.409188921    0.409191055    0.409195442
   23.987975952    0.417743608    0.417746526    0.417751327
   24.048096192    0.424092256    0.424095842    0.424100977
   24.108216433    0.425007084    0.425010801    0.425015944
   24.168336673    0.428040756    0.428043495    0.428049120
   24.228456914    0.432488859    0.432489186    0.432494316
   24.288577154    0.430365445    0.430364375    0.430363159
   24.348697395    0.421916127    0.421919553    0.421913892
   24.408817635    0.410477612    0.410476941    0.410472280
   24.468937876    0.405947526    0.405937251    0.405936888
   24.529058116    0.412626114    0.412612848    0.412614701
   24.589178357    0.421225662    0.421212561    0.421215424
   24.649298597    0.428166843    0.428155175    0.428159292
   24.709418838    0.434607537    0.434597162    0.434602827
   24.769539078    0.438969447    0.438959582    0.438966094
   24.829659319    0.438893756    0.438885660    0.438891105
   24.889779559    0.438910468    0.438906681    0.438908203
   24.949899800    0.442930201    0.442928444    0.442928294
   25.010020040    0.448646755    0.448644579    0.448645145
   25.070140281    0.455150512    0.455147010    0.455149240
   25.130260521    0.460613769    0.460608808    0.460612761
   25.190380762    0.465564871    0.465558726    0.465564054
   25.250501002    0.471272840    0.471266197    0.471272320
   25.310621242    0.475407957    0.475401761    0.475407643
   25.370741483    0.477409461    0.477403490    0.477409098
   25.430861723    0.475181046    0.475177063    0.475180522
   25.490981964    0.472115627    0.472119825    0.472115458
   25.551102204    0.472671713    0.472680827    0.472671988
   25.611222445    0.476629979    0.476638617    0.476630116
   25.671342685    0.478629425    0.478635131    0.478628467
   25.731462926    0.481082465    0.481085652    0.481080733
   25.791583166    0.486237935    0.486239999    0.486236186
   25.851703407    0.491441120    0.491442269    0.491439270
   25.911823647    0.494195534    0.494196178    0.494193828
   25.971943888    0.495622235    0.495622923    0.495621857
   26.032064128    0.498081573    0.498082303    0.498082238
   26.092184369    0.500438877    0.500440602    0.500440565
   26.152304609    0.501385770    0.501389049    0.501386580
   26.212424850    0.502346854    0.502350076    0.502345656
   26.272545090    0.504374564    0.504377172    0.504372971
   26.332665331    0.507332302    0.507334632    0.507330995
   26.392785571    0.512181072    0.512183315    0.512180110
   26.452905812    0.517148990    0.517150557    0.517147614
   26.513026052    0.521018970    0.521019035    0.521016535
